Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL
2023,January,54.40%,10.40%,26.80%,8.00%,0.10%,0.20%
2023,February,53.60%,8.00%,25.70%,12.00%,0.30%,0.30%
2023,March,52.50%,7.90%,26.50%,12.40%,0.50%,0.20%
2023,April,53.80%,5.20%,30.10%,10.20%,0.70%,0.10%
2023,May,54.00%,6.20%,32.50%,6.30%,0.90%,0.10%
2023,June,52.90%,16.80%,23.90%,5.30%,0.70%,0.30%
2023,July,50.80%,22.20%,22.40%,3.60%,0.60%,0.40%
2023,August,54.90%,17.50%,21.00%,5.70%,0.60%,0.30%
2023,September,55.50%,16.30%,22.40%,4.90%,0.70%,0.30%
2023,October,55.00%,10.70%,23.80%,9.90%,0.40%,0.20%
2023,November,50.50%,14.90%,22.50%,11.70%,0.30%,0.10%
2023,December,51.30%,15.70%,24.00%,8.50%,0.10%,0.30%
Average,,53.27%,12.65%,25.13%,8.21%,0.49%,0.23%
