Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total
2022,October,"5,005,638","1,091,170","3,114,724","1,326,361","62,404","11,353","10,611,650"
2022,November,"5,678,356","913,600","3,306,989","1,505,643","36,230","17,002","11,457,820"
2022,December,"6,299,048","1,796,780","3,497,779","1,566,274","19,084","20,815","13,199,780"
2023,January,"7,287,635","1,396,790","3,596,952","1,074,242","17,491","32,643","13,405,753"
2023,February,"6,428,020","961,785","3,086,885","1,445,690","40,904","34,510","11,997,794"
2023,March,"6,262,342","939,921","3,159,640","1,476,182","65,586","28,914","11,932,585"
2023,April,"6,195,721","596,738","3,463,786","1,172,799","75,424","11,531","11,515,999"
2023,May,"6,433,497","733,661","3,874,140","748,591","101,829","16,908","11,908,626"
2023,June,"6,342,346","2,019,685","2,865,683","636,745","86,957","36,427","11,987,843"
2023,July,"6,763,195","2,956,052","2,986,162","473,234","86,401","54,052","13,319,096"
2023,August,"6,977,786","2,223,938","2,671,816","721,135","82,299","36,124","12,713,098"
2023,September,"6,513,179","1,909,820","2,622,748","571,335","78,305","29,926","11,725,313"
2023,October,"6,577,933","1,279,767","2,843,281","1,189,286","48,038","21,841","11,960,146"
2023,November,"6,484,619","1,913,458","2,897,024","1,505,122","33,987","17,519","12,851,729"
2023,December,"7,047,689","2,161,563","3,301,495","1,169,191","19,565","35,383","13,734,886"
,,,,,,,,
