Year,Month,Peak MW,Minimum MW
2022,October,"17,294","10,820"
2022,November,"19,441","10,931"
2022,December,"20,326","12,417"
2023,January,"20,486","12,603"
2023,February,"21,388","12,990"
2023,March,"18,811","12,940"
2023,April,"17,547","11,117"
2023,May,"20,787","10,859"
2023,June,"21,463","11,438"
2023,July,"22,686","11,987"
2023,August,"21,364","11,629"
2023,September,"23,713","11,402"
2023,October,"20,849","11,260"
2023,November,"20,579","12,555"
2023,December,"20,004","12,029"
,,,
