Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total
2023,January,7287.64,1396.79,3596.95,1074.24,17.49,32.64,13405.75
2023,February,6428.02,961.79,3086.89,1445.69,40.9,34.51,11997.79
2023,March,6262.34,939.92,3159.64,1476.18,65.59,28.91,11932.59
2023,April,6195.72,596.74,3463.79,1172.8,75.42,11.53,11516
2023,May,6433.5,733.68,3874.19,748.62,101.83,16.91,11908.72
2023,June,6342.35,2019.7,2865.77,636.77,86.96,36.43,11987.97
2023,July,6763.2,2956.05,2986.16,473.23,86.4,54.05,13319.1
2023,August,6977.79,2223.95,2671.94,721.16,82.3,36.13,12713.26
2023,September,6513.18,1909.83,2622.88,571.35,78.31,29.93,11725.47
2023,October,6577.93,1279.77,2843.28,1189.29,48.04,21.84,11960.15
2023,November,6484.62,1913.46,2897.02,1505.12,33.99,17.52,12851.73
2023,December,7047.69,2161.56,3301.5,1169.19,19.57,35.38,13734.89
Total GWh,,79313.98,19093.24,37370.01,12183.64,736.80,355.78,149053.42
Total TWh,,79.31,19.09,37.37,12.18,0.74,0.36,149.05
,,,,,,,,
